Task,Job Location,Date,Start Time,End Time,Spots,Duration,updated
Statkeeper (Ultiworld) (Polo Fields),Polo Fields,2023/10/19,8:45 AM,10:45 AM,1,2:00:00,x
Statkeeper (Ultiworld) (Polo Fields),Polo Fields,2023/10/19,11:00 AM,1:00 PM,1,2:00:00,x
Statkeeper (Ultiworld) (Polo Fields),Polo Fields,2023/10/19,1:15 PM,3:15 PM,1,2:00:00,x
Statkeeper (Ultiworld) (Polo Fields),Polo Fields,2023/10/19,3:30 PM,5:30 PM,1,2:00:00,x
Statkeeper (Ultiworld) (Polo Fields),Polo Fields,2023/10/20,8:45 AM,10:45 AM,1,2:00:00,x
Statkeeper (Ultiworld) (Polo Fields),Polo Fields,2023/10/20,11:15 AM,1:15 PM,1,2:00:00,x
Statkeeper (Ultiworld) (Polo Fields),Polo Fields,2023/10/20,1:45 PM,3:45 PM,1,2:00:00,x
Statkeeper (Ultiworld) (Polo Fields),Polo Fields,2023/10/20,4:00 PM,6:00 PM,1,2:00:00,x
Statkeeper (Ultiworld) (Polo Fields),Polo Fields,2023/10/21,8:45 AM,10:45 AM,1,2:00:00,x
Statkeeper (Ultiworld) (Polo Fields),Polo Fields,2023/10/21,11:00 AM,1:00 PM,1,2:00:00,x
Statkeeper (UW Semis) (Polo Fields),Polo Fields,2023/10/21,10:00 AM,11:45 AM,1,1:45:00,x
Statkeeper (UW Semis) (Polo Fields),Polo Fields,2023/10/21,12:15 PM,2:00 PM,1,1:45:00,x
Store Runner (Polo Fields),Polo Fields,2023/10/19,7:00 AM,12:00 PM,1,5:00:00,x
Store Runner (Polo Fields),Polo Fields,2023/10/19,12:00 PM,5:00 PM,1,5:00:00,x
Store Runner (Polo Fields),Polo Fields,2023/10/20,7:00 AM,12:00 PM,1,5:00:00,x
Store Runner (Polo Fields),Polo Fields,2023/10/20,12:00 PM,5:00 PM,1,5:00:00,x
Store Runner (Polo Fields),Polo Fields,2023/10/21,7:00 AM,12:00 PM,1,5:00:00,x
Store Runner (Stadium),Stadium,2023/10/21,10:30 AM,3:30 PM,1,5:00:00,x
Store Runner (Stadium),Stadium,2023/10/21,3:30 PM,7:30 PM,1,4:00:00,x
Store Runner (Stadium),Stadium,2023/10/22,8:30 AM,1:30 PM,1,5:00:00,x
Youth Clinic Assistant Coach (Polo Fields),Polo Fields,2023/10/21,8:45 AM,11:00 AM,4,2:15:00,
